Name,Position,Total Score,Minutes Played,Cost,points_per_game,points_per_game_per_million,Bonus per 90,Points per 90,Points per million,Points per million per 90
b'Leno' 1 57 1755 4.8 2.9 0.6 0.15 2.92 11.88 0.61
b'Bellern' 2 60 1532 5.4 3.2 0.59 0.29 3.52 11.11 0.65
b'Monreal' 2 45 1050 5.4 3.5 0.65 0.34 3.86 8.33 0.71
b'Mustafi' 2 52 1801 5.4 2.4 0.44 0.1 2.6 9.63 0.48
b'Kolasinac' 2 54 1290 5.1 3.6 0.71 0.56 3.77 10.59 0.74
b'Sokratis' 2 34 1388 5.1 2.1 0.41 0.19 2.2 6.67 0.43
b'zil' 3 56 1050 7.9 4.0 0.51 0.6 4.8 7.09 0.61
b'Iwobi' 3 67 1322 5.4 2.9 0.54 0.07 4.56 12.41 0.84
b'Xhaka' 3 65 1882 5.2 3.0 0.58 0.24 3.11 12.5 0.6
b'Lacazette' 4 122 1713 9.5 4.9 0.52 0.95 6.41 12.84 0.67
b'Aubameyang' 4 150 2000 11.1 6.0 0.54 1.08 6.75 13.51 0.61
b'Torreira' 3 67 1847 4.8 2.6 0.54 0.29 3.26 13.96 0.68
b'Guendouzi' 3 35 1553 4.4 1.5 0.34 0.0 2.03 7.95 0.46
b'Begovic' 1 61 1980 4.3 2.8 0.65 0.18 2.77 14.19 0.64
b'Francis' 2 40 1227 4.3 2.4 0.56 0.0 2.93 9.3 0.68
b'Steve Cook' 2 70 2340 4.4 2.7 0.61 0.19 2.69 15.91 0.61
b'Daniels' 2 35 1224 4.1 2.2 0.54 0.0 2.57 8.54 0.63
b'Adam Smith' 2 50 1415 4.3 2.9 0.67 0.0 3.18 11.63 0.74
b'Ak' 2 82 2331 5.0 3.2 0.64 0.23 3.17 16.4 0.63
b'Surman' 3 29 1168 4.6 1.9 0.41 0.0 2.23 6.3 0.48
b'Gosling' 3 32 1174 4.7 1.8 0.38 0.0 2.45 6.81 0.52
b'Fraser' 3 121 2119 6.1 4.7 0.77 0.59 5.14 19.84 0.84
b'Brooks' 3 94 1585 5.0 4.3 0.86 0.34 5.34 18.8 1.07
b'Wilson' 4 114 1726 6.3 5.4 0.86 0.73 5.94 18.1 0.94
b'King' 4 99 1945 6.4 4.3 0.67 0.65 4.58 15.47 0.72
b'Lerma' 3 44 1652 4.5 2.2 0.49 0.16 2.4 9.78 0.53
b'Ryan' 1 70 1980 4.4 3.2 0.73 0.32 3.18 15.91 0.72
b'Dunk' 2 63 2071 4.5 2.6 0.58 0.22 2.74 14.0 0.61
b'Duffy' 2 87 2007 4.6 3.8 0.83 0.27 3.9 18.91 0.85
b'Bong' 2 40 1535 4.4 2.1 0.48 0.0 2.35 9.09 0.53
b'Knockaert' 3 53 1199 5.2 2.5 0.48 0.08 3.98 10.19 0.77
b'Stephens' 3 38 1504 4.4 2.0 0.45 0.12 2.27 8.64 0.52
b'March' 3 77 1988 4.9 3.0 0.61 0.23 3.49 15.71 0.71
b'Gro' 3 57 1311 6.7 3.2 0.48 0.62 3.91 8.51 0.58
b'Prpper' 3 48 1952 4.8 2.2 0.46 0.0 2.21 10.0 0.46
b'Murray' 4 93 1683 6.3 3.6 0.57 0.7 4.97 14.76 0.79
b'Montoya' 2 33 1620 4.3 1.8 0.42 0.06 1.83 7.67 0.43
b'Lowton' 2 22 1208 4.6 1.5 0.33 0.0 1.64 4.78 0.36
b'Mee' 2 61 2340 4.6 2.3 0.5 0.15 2.35 13.26 0.51
b'Tarkowski' 2 70 2006 4.7 3.0 0.64 0.18 3.14 14.89 0.67
b'Taylor' 2 54 2160 4.4 2.1 0.48 0.04 2.25 12.27 0.51
b'Bardsley' 2 26 1130 4.2 2.0 0.48 0.0 2.07 6.19 0.49
b'Gudmundsson' 3 67 1390 5.5 3.5 0.64 0.32 4.34 12.18 0.79
b'Hendrick' 3 48 1249 5.2 2.3 0.44 0.22 3.46 9.23 0.67
b'Westwood' 3 67 1831 4.6 2.9 0.63 0.25 3.29 14.57 0.72
b'Cork' 3 62 2232 4.6 2.5 0.54 0.0 2.5 13.48 0.54
b'Lennon' 3 41 1214 4.9 2.6 0.53 0.15 3.04 8.37 0.62
b'Barnes' 4 79 1342 5.6 3.2 0.57 0.6 5.3 14.11 0.95
b'Wood' 4 74 1584 6.2 2.8 0.45 0.51 4.2 11.94 0.68
b'Hart' 1 69 1710 4.3 3.6 0.84 0.37 3.63 16.05 0.84
b'Arter' 3 38 1667 4.9 1.8 0.37 0.0 2.05 7.76 0.42
b'Etheridge' 1 113 2340 4.7 4.3 0.91 0.58 4.35 24.04 0.93
b'Morrison' 2 64 1959 4.7 2.9 0.62 0.09 2.94 13.62 0.63
b'Bamba' 2 89 2250 4.6 3.6 0.78 0.44 3.56 19.35 0.77
b'Ecuele Manga' 2 68 2340 4.4 2.6 0.59 0.08 2.62 15.45 0.6
b'Bennett' 2 53 1588 4.4 2.9 0.66 0.23 3.0 12.05 0.68
b'Ralls' 3 33 1508 4.6 1.6 0.35 0.0 1.97 7.17 0.43
b'Hoilett' 3 50 1409 5.0 2.4 0.48 0.06 3.19 10.0 0.64
b'Paterson' 3 76 1845 5.0 3.3 0.66 0.2 3.71 15.2 0.74
b'Gunnarsson' 3 46 1359 4.4 2.7 0.61 0.2 3.05 10.45 0.69
b'Murphy' 3 54 1229 4.8 2.7 0.56 0.07 3.95 11.25 0.82
b'Reid' 4 64 1066 5.2 3.2 0.62 0.59 5.4 12.31 1.04
b'Camarasa' 3 73 1889 4.6 3.2 0.7 0.19 3.48 15.87 0.76
b'Azpilicueta' 2 98 2340 6.3 3.8 0.6 0.15 3.77 15.56 0.6
b'Alonso' 2 125 2219 6.5 5.0 0.77 0.65 5.07 19.23 0.78
b'David Luiz' 2 117 2250 5.9 4.7 0.8 0.64 4.68 19.83 0.79
b'Rdiger' 2 92 2228 6.0 3.7 0.62 0.28 3.72 15.33 0.62
b'Hazard' 3 165 2015 10.8 6.6 0.61 0.94 7.37 15.28 0.68
